sentence,DP_freq,FNM_freq,FCC_freq,FAC_freq,NFM_freq,NCC_freq,NAC_freq,DP_items,FNM_items,FCC_items,FAC_items,NFM_items,NCC_items,NAC_items
I think that it is important for college students to have part-time job.,2,0,1,1,0,0,0,college students; part-time job,,that it is important for college students to have part-time job,for college students to have part-time job,,,
I have three reasons for that.,1,0,0,0,0,0,0,for that,,,,,,
"First, that helps their parents.",0,0,0,0,0,0,0,,,,,,,
Most parents pay their tuition and living costs and that would be so expensive.,2,0,0,0,0,0,0,living costs; Most parents,,,,,,
"When students make money and help their parents with money, their parents would save money and spend other things.",2,0,0,1,0,0,0,other things; with money,,,When students make money and help their parents with money,,,
"Second, they can learn manners on the job before they graduate from college.",2,0,0,1,0,0,0,on the job; from college,,,before they graduate from college,,,
"When they behave inappropriately after getting a job, They may be considered as rude person.",2,0,0,1,0,0,0,rude person; as rude person,,,When they behave inappropriately after getting a job,,,
"However, when you are still students, their boss may teach you kindly.",0,0,0,1,0,0,0,,,,when you are still students,,,
"Also, they know well about manners so, that would be useful when they do job hunting because their boss teach less things so they tend to hire that kind of people.",4,0,0,3,0,1,0,job hunting; less things; about manners; of people,,,when they do job hunting; because their boss teach less things so they tend to hire that kind of people; so they tend to hire that kind of people,,to hire that kind of people,
"Third, they can make use of their free time with part-time jobs because they have old of time.",5,0,0,1,0,0,0,free time; part-time jobs; of their free time; with part-time jobs; of time,,,because they have old of time,,,
"Most college students don't have classes like high school students in japan so, they can do whatever they want.",4,0,1,0,0,0,0,Most students; high school; like high school students in japan; in japan,,whatever they want,,,,
"If they work in their free time, they will make 300-800 dollars per month.",3,0,0,1,0,0,0,free time; in their free time; per month,,,If they work in their free time,,,
They can go abroad and spend their money on their hobbies.,1,0,0,0,0,0,0,on their hobbies,,,,,,
"In conclusion, I believe students having part-time jobs have advantages in terms of money, manners and useful ways.",5,0,0,0,0,0,0,"part-time jobs; useful ways; In conclusion; in terms of money , manners and useful ways; of money , manners and useful ways",,,,,,
